libdrm-radeon1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-tegra0:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:arm64	2.4.125-1ubuntu0.1~24.04.2
libduktape207:arm64	2.7.0+tests-0ubuntu3
libdv4t64:arm64	1.0.0-17.1build1
libdvdnav4:arm64	6.1.1-3build1
libdvdread8t64:arm64	6.1.3-1.1build1
libdw-dev:arm64	0.190-1.1ubuntu0.1
libdw1t64:arm64	0.190-1.1ubuntu0.1
libe-book-0.1-1:arm64	0.1.3-2build6
libeatmydata1:arm64	131-1ubuntu1
libebackend-1.2-11t64:arm64	3.52.3-0ubuntu1.2
libebook-1.2-21t64:arm64	3.52.3-0ubuntu1.2
libebook-contacts-1.2-4t64:arm64	3.52.3-0ubuntu1.2
libecal-2.0-3:arm64	3.52.3-0ubuntu1.2
libedata-book-1.2-27t64:arm64	3.52.3-0ubuntu1.2
libedata-cal-2.0-2t64:arm64	3.52.3-0ubuntu1.2
libedataserver-1.2-27t64:arm64	3.52.3-0ubuntu1.2
libedataserverui-1.2-4t64:arm64	3.52.3-0ubuntu1.2
libedataserverui4-1.0-0t64:arm64	3.52.3-0ubuntu1.2
libedit2:arm64	3.1-20230828-1build1
libeditorconfig0:arm64	0.12.7-0.1ubuntu0.1
libefiboot1t64:arm64	38-3.1build1
libefivar1t64:arm64	38-3.1build1
libegl-dev:arm64	1.7.0-1build1
libegl-mesa0:arm64	25.2.8-0ubuntu0.24.04.2
libegl1:arm64	1.7.0-1build1
libei1:arm64	1.2.1-1
libeis1:arm64	1.2.1-1
libelf-dev:arm64	0.190-1.1ubuntu0.1
libelf1t64:arm64	0.190-1.1ubuntu0.1
libenchant-2-2:arm64	2.3.3-2build2
libencode-locale-perl	1.05-3
libeot0:arm64	0.01-5build3
libepoxy0:arm64	1.5.10-1build1
libepubgen-0.1-1:arm64	0.1.1-1ubuntu6
liberror-perl	0.17029-2
libespeak-ng1:arm64	1.51+dfsg-12build1
libestr0:arm64	0.1.11-1build1
libetonyek-0.1-1:arm64	0.1.10-5build1
libevdev2:arm64	1.13.1+dfsg-1build1
libevdocument3-4t64:arm64	46.3.1-0ubuntu1.1
libevent-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
libevent-core-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
libevent-pthreads-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
libevview3-3t64:arm64	46.3.1-0ubuntu1.1
libexempi8:arm64	2.6.5-1build1
libexif-dev:arm64	0.6.24-1build2
libexif12:arm64	0.6.24-1build2
libexiv2-27:arm64	0.27.6-1ubuntu0.3
libexpat1:arm64	2.6.1-2ubuntu0.4
libexpat1-dev:arm64	2.6.1-2ubuntu0.4
libext2fs2t64:arm64	1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0:arm64	3.4.7-1build1
libexttextcat-data	3.4.7-1build1
libextutils-depends-perl	0.8001-2
libfaad2:arm64	2.11.1-1build1
libfabric1:arm64	1.17.0-3build2
libfakechroot:arm64	2.20.1+ds-15
libfakeroot:arm64	1.33-1
libfastjson4:arm64	1.2304.0-1build1
libfdisk1:arm64	2.39.3-9ubuntu6.5
libfdt1:arm64	1.7.0-2build1
libffi-dev:arm64	3.4.6-1build1
libffi8:arm64	3.4.6-1build1
libfftw3-double3:arm64	3.3.10-1ubuntu3
libfftw3-single3:arm64	3.3.10-1ubuntu3
libfido2-1:arm64	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libflac12t64:arm64	1.4.3+ds-2.1ubuntu2
libflashrom1:arm64	1.3.0-2.1ubuntu2
libflite1:arm64	2.2-6build3
libfluidsynth3:arm64	2.3.4-1build3
libfont-afm-perl	1.20-4
libfontconfig1:arm64	2.15.0-1.1ubuntu2
libfontenc1:arm64	1:1.1.8-1build1
libfprint-2-2	1:1.94.7+tod1-0ubuntu5~24.04.7
libfprint-2-tod1:arm64	1:1.94.7+tod1-0ubuntu5~24.04.7
libfreeaptx0:arm64	0.1.1-2build1
libfreehand-0.1-1	0.1.2-3build3
libfreerdp-client3-3:arm64	3.5.1+dfsg1-0ubuntu1.6
libfreerdp-server3-3:arm64	3.5.1+dfsg1-0ubuntu1.6
libfreerdp3-3:arm64	3.5.1+dfsg1-0ubuntu1.6
libfreetype6:arm64	2.13.2+dfsg-1ubuntu0.1
libfreexl1:arm64	2.0.0-1build2
libfribidi0:arm64	1.0.13-3build1
libftdi1-2:arm64	1.5-6build5
libfuse2t64:arm64	2.9.9-8.1build1
libfuse3-3:arm64	3.14.0-5build1
libfwupd2:arm64	1.9.34-0ubuntu1~24.04.1
libfyba0t64:arm64	4.1.1-11build1
libgail-common:arm64	2.24.33-4ubuntu1.1
libgail18t64:arm64	2.24.33-4ubuntu1.1
libgamemode0:arm64	1.8.1-2build1
libgamemodeauto0:arm64	1.8.1-2build1
libgbm-dev:arm64	25.2.8-0ubuntu0.24.04.2
libgbm1:arm64	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:arm64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:arm64	14.2.0-4ubuntu2~24.04.1
libgck-1-0:arm64	3.41.2-1build3
libgck-2-2:arm64	4.2.0-5
libgcr-4-4:arm64	4.2.0-5
libgcr-base-3-1:arm64	3.41.2-1build3
libgcr-ui-3-1:arm64	3.41.2-1build3
libgcrypt20:arm64	1.10.3-2ubuntu0.1
libgd3:arm64	2.3.3-9ubuntu5
libgdal34t64:arm64	3.8.4+dfsg-3ubuntu3
libgdata-common	0.18.1-6build2
libgdata22:arm64	0.18.1-6build2
libgdbm-compat4t64:arm64	1.23-5.1build1
libgdbm6t64:arm64	1.23-5.1build1
libgdcm-dev	3.0.22-2.1ubuntu1
libgdcm3.0t64:arm64	3.0.22-2.1ubuntu1
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgdm1	46.2-1ubuntu1~24.04.9
libgee-0.8-2:arm64	0.20.6-1build2
libgeoclue-2-0:arm64	2.7.0-3ubuntu7
libgeocode-glib-2-0:arm64	3.26.3-6build3
libgeos-c1t64:arm64	3.12.1-3build1
libgeos3.12.1t64:arm64	3.12.1-3build1
libgeotiff5:arm64	1.7.1-5build1
libgexiv2-2:arm64	0.14.2-2build3
libgfortran5:arm64	14.2.0-4ubuntu2~24.04.1
libgif7:arm64	5.2.2-1ubuntu1
libgirepository-1.0-1:arm64	1.80.1-1
libgirepository-2.0-0:arm64	2.80.0-6ubuntu3.8
libgjs0g:arm64	1.80.2-1build2
libgl-dev:arm64	1.7.0-1build1
libgl1:arm64	1.7.0-1build1
libgl1-mesa-dev:arm64	25.2.8-0ubuntu0.24.04.2
libgl1-mesa-dri:arm64	25.2.8-0ubuntu0.24.04.2
libgl2ps1.4	1.4.2+dfsg1-2build1
libgles-dev:arm64	1.7.0-1build1
libgles1:arm64	1.7.0-1build1
libgles2:arm64	1.7.0-1build1
libglew2.2:arm64	2.2.0-4build1
libglib-object-introspection-perl	0.051-1build3
libglib-perl:arm64	3:1.329.3-3build3
libglib2.0-0t64:arm64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglib2.0-dev:arm64	2.80.0-6ubuntu3.8
libglib2.0-dev-bin	2.80.0-6ubuntu3.8
libglib2.0-doc	2.80.0-6ubuntu3.8
libglib2.0-tests	2.80.0-6ubuntu3.8
libglibmm-2.68-1t64:arm64	2.78.1-2.2build2
libglu1-mesa:arm64	9.0.2-1.1build1
libglvnd-core-dev:arm64	1.7.0-1build1
libglvnd-dev:arm64	1.7.0-1build1
libglvnd0:arm64	1.7.0-1build1
libglx-dev:arm64	1.7.0-1build1
libglx-mesa0:arm64	25.2.8-0ubuntu0.24.04.2
libglx0:arm64	1.7.0-1build1
libgme0:arm64	0.6.3-7build1
libgmp10:arm64	2:6.3.0+dfsg-2ubuntu6.1
libgnome-autoar-0-0:arm64	0.4.4-2build4
libgnome-bg-4-2t64:arm64	44.0-5build2
libgnome-bluetooth-3.0-13:arm64	46.0-1ubuntu1
libgnome-bluetooth-ui-3.0-13:arm64	46.0-1ubuntu1
libgnome-desktop-3-20t64:arm64	44.0-5build2
libgnome-desktop-4-2t64:arm64	44.0-5build2
libgnome-menu-3-0:arm64	3.36.0-1.1ubuntu3
libgnome-rr-4-2t64:arm64	44.0-5build2
libgnomekbd-common	3.28.1-1build3
libgnomekbd8:arm64	3.28.1-1build3
libgnutls30t64:arm64	3.8.3-1.1ubuntu3.6
libgoa-1.0-0b:arm64	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgoa-backend-1.0-2:arm64	3.50.4-0ubuntu2
libgom-1.0-0t64:arm64	0.5.0-1
libgomp1:arm64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:arm64	1.47-3build2.1
libgpgme11t64:arm64	1.18.0-4.1ubuntu4
libgpgmepp6t64:arm64	1.18.0-4.1ubuntu4
libgphoto2-6t64:arm64	2.5.31-2.1ubuntu1
libgphoto2-dev:arm64	2.5.31-2.1ubuntu1
libgphoto2-port12t64:arm64	2.5.31-2.1ubuntu1
libgpiod2t64:arm64	1.6.3-1.1build1
libgpm2:arm64	1.20.7-11
libgpod-common	0.8.3-19.1ubuntu4
libgpod4t64:arm64	0.8.3-19.1ubuntu4
libgprofng0:arm64	2.42-4ubuntu2.10
libgraphene-1.0-0:arm64	1.10.8-3build2
libgraphite2-3:arm64	1.3.14-2ubuntu0.24.04.1
libgrilo-0.3-0:arm64	0.3.16-1build3
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10:arm64	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsf-1-114:arm64	1.14.51-2ubuntu0.1
libgsf-1-common	1.14.51-2ubuntu0.1
libgsm1:arm64	1.0.22-1build1
libgsound0t64:arm64	1.0.3-3.2build2
libgspell-1-2:arm64	1.12.2-1build4
libgspell-1-common	1.12.2-1build4
libgssapi-krb5-2:arm64	1.20.1-6ubuntu2.6
libgssdp-1.6-0:arm64	1.6.3-1build3
libgstreamer-gl1.0-0:arm64	1.24.2-1ubuntu0.4
libgstreamer-opencv1.0-0:arm64	1.24.2-1ubuntu4
libgstreamer-plugins-bad1.0-0:arm64	1.24.2-1ubuntu4
libgstreamer-plugins-base1.0-0:arm64	1.24.2-1ubuntu0.4
libgstreamer-plugins-base1.0-dev	1.24.2-1ubuntu0.4
libgstreamer-plugins-good1.0-0:arm64	1.24.2-1ubuntu1.4
libgstreamer-plugins-good1.0-dev	1.24.2-1ubuntu1.4
libgstreamer1.0-0:arm64	1.24.2-1ubuntu0.1
libgstreamer1.0-dev:arm64	1.24.2-1ubuntu0.1
libgtk-3-0t64:arm64	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-4-1:arm64	4.14.5+ds-0ubuntu0.10
libgtk-4-bin	4.14.5+ds-0ubuntu0.10
libgtk-4-common	4.14.5+ds-0ubuntu0.10
libgtk-4-media-gstreamer	4.14.5+ds-0ubuntu0.10
libgtk2.0-0t64:arm64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtk3-perl	0.038-3
libgtkmm-4.0-0:arm64	4.10.0-4build3
libgtksourceview-5-0:arm64	5.12.0-1build1
libgtksourceview-5-common	5.12.0-1build1
libgtop-2.0-11:arm64	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgudev-1.0-0:arm64	1:238-5ubuntu1
libgudev-1.0-dev:arm64	1:238-5ubuntu1
libgupnp-1.6-0:arm64	1.6.6-1build3
libgupnp-av-1.0-3:arm64	0.14.1-2build2
libgupnp-dlna-2.0-4:arm64	0.12.0-4build2
libgupnp-igd-1.6-0:arm64	1.6.0-3build3
libgusb2:arm64	0.4.8-1build2
libgweather-4-0t64:arm64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libgxps2t64:arm64	0.3.2-4build3
libhandy-1-0:arm64	1.8.3-1build2
libharfbuzz-gobject0:arm64	8.3.0-2build2
libharfbuzz-icu0:arm64	8.3.0-2build2
libharfbuzz0b:arm64	8.3.0-2build2
libhavege2:arm64	1.9.14-1ubuntu2
libhdf4-0-alt:arm64	4.2.16-4build1
libhdf5-103-1t64:arm64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-100t64:arm64	1.10.10+repack-3.1ubuntu4
libheif-plugin-aomdec:arm64	1.17.6-1ubuntu4.5
libheif-plugin-aomenc:arm64	1.17.6-1ubuntu4.5
libheif-plugin-libde265:arm64	1.17.6-1ubuntu4.5
libheif1:arm64	1.17.6-1ubuntu4.5
libhogweed6t64:arm64	3.9.1-2.2build1.1
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl:arm64	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.24.04.1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhunspell-1.7-0:arm64	1.7.2+really1.7.2-10build3
libhwasan0:arm64	14.2.0-4ubuntu2~24.04.1
libhwloc-plugins:arm64	2.10.0-1build1
libhwloc15:arm64	2.10.0-1build1
libhwy1t64:arm64	1.0.7-8.1build1
libhyphen0:arm64	2.8.8-7build3
libi2c0:arm64	4.3-4build2
libibus-1.0-5:arm64	1.5.29-2
libibverbs1:arm64	50.0-2ubuntu0.2
libical3t64:arm64	3.0.17-1.1build3
libice6:arm64	2:1.0.10-1build3
libicu-dev:arm64	74.2-1ubuntu3.1
libicu74:arm64	74.2-1ubuntu3.1
libid3tag0:arm64	0.15.1b-14build1
libidn12:arm64	1.42-1ubuntu0.1
libidn2-0:arm64	2.3.7-2build1.1
libiec61883-0:arm64	1.2.0-6build1
libieee1284-3t64:arm64	0.2.11-14.1build1
libijs-0.35:arm64	0.35-15.1build1
libimagequant0:arm64	2.18.0-1build1
libimath-3-1-29t64:arm64	3.1.9-3.1ubuntu2
libimath-dev:arm64	3.1.9-3.1ubuntu2
libimlib2t64:arm64	1.12.1-1.1build2
libimobiledevice6:arm64	1.3.0-8.1build3
libini-config5t64:arm64	0.6.2-2.1build1
libinih1:arm64	55-1ubuntu2
libiniparser1:arm64	4.1-7ubuntu0.1
libinput-bin	1.25.0-1ubuntu3.5
libinput10:arm64	1.25.0-1ubuntu3.5
libinstpatch-1.0-2:arm64	1.1.6-1build2
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-stringy-perl	2.111-3
libip4tc2:arm64	1.8.10-3ubuntu2
libip6tc2:arm64	1.8.10-3ubuntu2
libipa-hbac0t64	2.9.4-1.1ubuntu6.6
libipc-system-simple-perl	1.30-2
libiperf0:arm64	3.16-1build2
libisl23:arm64	0.26-3build1.1
libitm1:arm64	14.2.0-4ubuntu2~24.04.1
libiw30t64:arm64	30~pre9-16.1ubuntu2
libjack-jackd2-0:arm64	1.9.21~dfsg-3ubuntu3
libjansson4:arm64	2.14-2build2
libjavascriptcoregtk-4.1-0:arm64	2.52.3-0ubuntu0.24.04.1
libjavascriptcoregtk-6.0-1:arm64	2.52.3-0ubuntu0.24.04.1
libjbig-dev:arm64	2.1-6.1ubuntu2
libjbig0:arm64	2.1-6.1ubuntu2
libjbig2dec0:arm64	0.20-1build3
libjcat1:arm64	0.2.3-1~ubuntu0.24.04.1
libjpeg-dev:arm64	8c-2ubuntu11
libjpeg-turbo8:arm64	2.1.5-2ubuntu2
libjpeg-turbo8-dev:arm64	2.1.5-2ubuntu2
libjpeg8:arm64	8c-2ubuntu11
libjpeg8-dev:arm64	8c-2ubuntu11
libjpeg9:arm64	1:9e-1build1
libjq1:arm64	1.7.1-3ubuntu0.24.04.2
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-jquery-ui	1.13.2+dfsg-1
libjs-sphinxdoc	7.2.6-6
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:arm64	0.17-1build1
libjson-glib-1.0-0:arm64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjsoncpp25:arm64	1.9.5-6build1
libjxl0.7:arm64	0.7.0-10.2ubuntu6.1
libk5crypto3:arm64	1.20.1-6ubuntu2.6
libkeyutils1:arm64	1.6.3-3build1
libklibc:arm64	2.0.13-4ubuntu0.2
libkmlbase1t64:arm64	1.3.0-12build1
libkmldom1t64:arm64	1.3.0-12build1
libkmlengine1t64:arm64	1.3.0-12build1
libkmod2:arm64	31+20240202-2ubuntu7.2
libkpathsea6:arm64	2023.20230311.66589-9build3
libkrb5-3:arm64	1.20.1-6ubuntu2.6
libkrb5support0:arm64	1.20.1-6ubuntu2.6
libksba8:arm64	1.6.6-1build1
liblangtag-common	0.6.7-1build2
liblangtag1:arm64	0.6.7-1build2
liblapack3:arm64	3.12.0-3build1.1
liblbfgsb0:arm64	3.0+dfsg.4-1build1
liblc3-1:arm64	1.0.4-3build1
liblcms2-2:arm64	2.14-2ubuntu0.1
liblcms2-utils	2.14-2ubuntu0.1
libldacbt-abr2:arm64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldacbt-enc2:arm64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldap2:arm64	2.6.10+dfsg-0ubuntu0.24.04.1
libldb2:arm64	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.6
liblept5:arm64	1.82.0-3build4
liblerc-dev:arm64	4.0.0+ds-4ubuntu2
liblerc4:arm64	4.0.0+ds-4ubuntu2
liblilv-0-0:arm64	0.24.22-1build1
liblirc-client0t64:arm64	0.10.2-0.8build1
libllvm20:arm64	1:20.1.2-0ubuntu1~24.04.3
liblmdb0:arm64	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblouis-data	3.29.0-1build1
liblouis20:arm64	3.29.0-1build1
liblrdf0:arm64	0.6.1-4build1
liblsan0:arm64	14.2.0-4ubuntu2~24.04.1
libltc11:arm64	1.3.2-1build1
libltdl7:arm64	2.4.7-7build1
liblttng-ust-common1t64:arm64	2.13.7-1.1ubuntu2
liblttng-ust-ctl5t64:arm64	2.13.7-1.1ubuntu2
liblttng-ust1t64:arm64	2.13.7-1.1ubuntu2
liblua5.4-0:arm64	5.4.6-3build2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1:arm64	1.9.4-1build1.1
liblzma-dev:arm64	5.6.1+really5.4.5-1ubuntu0.3
liblzma5:arm64	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2:arm64	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64:arm64	1:5.45-3build1
libmailtools-perl	2.21-2
libmalcontent-0-0:arm64	0.11.1-1ubuntu1.3
libmanette-0.2-0:arm64	0.2.7-1build2
libmaxminddb0:arm64	1.9.1-1build1
libmbedcrypto7t64:arm64	2.28.8-1
libmbim-glib4:arm64	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd0:arm64	1.1.0-2build1.1
libmd4c0:arm64	0.4.8-1build1
libmediaart-2.0-0:arm64	1.9.6-1build2
libmhash2:arm64	0.9.9.9-9build3
libminiupnpc17:arm64	2.2.6-1build2
libminizip1t64:arm64	1:1.3.dfsg-3.1ubuntu2.1
libmjpegutils-2.1-0t64:arm64	1:2.1.0+debian-8.1build1
libmm-glib0:arm64	1.23.4-0ubuntu2
libmnl0:arm64	1.0.5-2build1
libmodplug1:arm64	1:0.8.9.0-3build1
libmount-dev:arm64	2.39.3-9ubuntu6.5
libmount1:arm64	2.39.3-9ubuntu6.5
libmozjs-115-0t64:arm64	115.10.0-1
libmp3lame0:arm64	3.100-6build1
libmpc3:arm64	1.3.1-1build1.1
libmpcdec6:arm64	2:0.1~r495-2build1
libmpeg2-4:arm64	0.5.1-9build1
libmpeg2encpp-2.1-0t64:arm64	1:2.1.0+debian-8.1build1
libmpfr6:arm64	4.2.1-1build1.1
libmpg123-0t64:arm64	1.32.5-1ubuntu1.1
libmplex2-2.1-0t64:arm64	1:2.1.0+debian-8.1build1
libmsgraph-0-1:arm64	0.2.1-0ubuntu3
libmspub-0.1-1:arm64	0.1.4-3build7
libmtdev1t64:arm64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1ubuntu1
libmtp-runtime	1.1.21-3.1ubuntu1
libmtp9t64:arm64	1.1.21-3.1ubuntu1
libmulticobex1t64	0.24-9.1build2
libmunge2:arm64	0.5.15-4ubuntu0.1
libmutter-14-0:arm64	46.2-1ubuntu0.24.04.16
libmwaw-0.3-3:arm64	0.3.22-1build1
libmysofa1:arm64	1.3.2+dfsg-2ubuntu2
libmysqlclient21:arm64	8.0.46-0ubuntu0.24.04.3
libmythes-1.2-0:arm64	2:1.2.5-1build1
libnatpmp1t64:arm64	20230423-1.2build1
libnautilus-extension4:arm64	1:46.4-0ubuntu0.2
libncurses6:arm64	6.4+20240113-1ubuntu2.1
libncursesw6:arm64	6.4+20240113-1ubuntu2.1
libndp0:arm64	1.8-1fakesync1ubuntu0.24.04.1
libneon27t64:arm64	0.33.0-1.1build3
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl:arm64	1.94-1build4
libnetcdf19t64:arm64	1:4.9.2-5ubuntu4
libnetfilter-conntrack3:arm64	1.0.9-6build1
libnetplan1:arm64	1.1.2-8ubuntu1~24.04.2
libnettle8t64:arm64	3.9.1-2.2build1.1
libnewt0.52:arm64	0.52.24-2ubuntu2
libnfnetlink0:arm64	1.0.2-2build1
libnfs14:arm64	5.0.2-1ubuntu0.24.04.1
libnfsidmap1:arm64	1:2.6.4-3ubuntu5.1
libnftables1:arm64	1.0.9-1ubuntu0.1
libnftnl11:arm64	1.2.6-2build1
libnghttp2-14:arm64	1.59.0-1ubuntu0.4
libnice10:arm64	0.1.21-2build3
libnl-3-200:arm64	3.7.0-0.3build1.1
libnl-genl-3-200:arm64	3.7.0-0.3build1.1
libnl-route-3-200:arm64	3.7.0-0.3build1.1
libnm0:arm64	1.46.0-1ubuntu2.7
libnma-common	1.10.6-3build2
libnma-gtk4-0:arm64	1.10.6-3build2
libnma0:arm64	1.10.6-3build2
libnorm1t64:arm64	1.5.9+dfsg-3.1build1
libnotify-bin	0.8.3-1build2
libnotify4:arm64	0.8.3-1build2
libnpth0t64:arm64	1.6-3.1build1
libnsl2:arm64	1.3.0-3build3
libnspr4:arm64	2:4.35-1.1build1
libnss-mdns:arm64	0.15.1-4build1
libnss-sss:arm64	2.9.4-1.1ubuntu6.6
libnss-systemd:arm64	255.4-1ubuntu8.16
libnss3:arm64	2:3.98-1ubuntu0.2
libntfs-3g89t64:arm64	1:2022.10.3-1.2ubuntu3.1
libnuma1:arm64	2.0.18-1ubuntu0.24.04.1
libnvinfer-dev	10.16.2.10-1+cuda13.2
libnvinfer-headers-dev	10.16.2.10-1+cuda13.2
libnvinfer-headers-plugin-dev	10.16.2.10-1+cuda13.2
libnvinfer-plugin-dev	10.16.2.10-1+cuda13.2
libnvinfer-plugin10	10.16.2.10-1+cuda13.2
libnvinfer-safe-headers-dev	10.16.2.10-1+cuda13.2
libnvinfer-vc-plugin10	10.16.2.10-1+cuda13.2
libnvinfer10	10.16.2.10-1+cuda13.2
libnvjitlink-13-2	13.2.86-1
libnvme1t64	1.8-3ubuntu1
libnvonnxparsers-dev	10.16.2.10-1+cuda13.2
libnvonnxparsers10	10.16.2.10-1+cuda13.2
libnvptxcompiler-13-2	13.2.86-1
libnvvm-13-2	13.2.86-1
libobexftp0t64	0.24-9.1build2
libodbc2:arm64	2.3.12-1ubuntu0.24.04.1
libodbcinst2:arm64	2.3.12-1ubuntu0.24.04.1
libodfgen-0.1-1:arm64	0.1.8-2build3
libogdi4.1:arm64	4.1.1+ds-3build1
libogg0:arm64	1.3.5-3build1
libonig5:arm64	6.9.9-1build1
libopenal-data	1:1.23.1-4build1
libopenal1:arm64	1:1.23.1-4build1
libopencore-amrnb0:arm64	0.1.6-1build1
libopencore-amrwb0:arm64	0.1.6-1build1
libopencv-calib3d406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-contrib406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-core-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-core406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-dnn406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-features2d406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-flann-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-flann406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-highgui406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgcodecs406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-imgproc406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-ml-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-ml406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-objdetect406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-photo-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-photo406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-shape-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-shape406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-stitching406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-video-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-video406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-viz-dev:arm64	4.6.0+dfsg-13.1ubuntu1
libopencv-viz406t64:arm64	4.6.0+dfsg-13.1ubuntu1
libopenexr-3-1-30:arm64	3.1.5-5.1build3
libopenexr-dev	3.1.5-5.1build3
libopengl-dev:arm64	1.7.0-1build1
libopengl0:arm64	1.7.0-1build1
libopenh264-7:arm64	2.4.1+dfsg-1
libopenjp2-7:arm64	2.5.0-2ubuntu0.5
libopenmpi3t64:arm64	4.1.6-7ubuntu2
libopenmpt0t64:arm64	0.7.3-1.1build3
libopenni2-0:arm64	2.2.0.33+dfsg-18
libopenobex2	1.7.2-2.2
libopus0:arm64	1.4-1build1
liborc-0.4-0t64:arm64	1:0.4.38-1ubuntu0.1
liborc-0.4-dev:arm64	1:0.4.38-1ubuntu0.1
liborc-0.4-dev-bin	1:0.4.38-1ubuntu0.1
liborcus-0.18-0:arm64	0.19.2-3build3
liborcus-parser-0.18-0:arm64	0.19.2-3build3
libp11-kit0:arm64	0.25.3-4ubuntu2.1
libpackagekit-glib2-18:arm64	1.2.8-2ubuntu1.5
libpagemaker-0.0-0:arm64	0.0.4-1build4
libpam-fprintd:arm64	1.94.3-1
libpam-gnome-keyring:arm64	46.1-2ubuntu0.2
libpam-modules:arm64	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-pwquality:arm64	1.4.5-3build1
libpam-runtime	1.5.3-5ubuntu5.5
